lbo_rank,ticker,year,sector,missing_critical_data,pass_fcf_filter,pass_interest_coverage_filter,pass_debt_to_ebitda_filter,pass_current_ratio_filter,pass_capex_to_ebitda_filter,pass_hard_filters,fcf,fcf_margin,fcf_conversion,fcf_score,fcf_margin_score,fcf_conversion_score,cash_flow_strength_score,fcf_to_debt,fcf_to_debt_score,deleveraging_capacity_score,debt_to_ebitda,net_debt_to_ebitda,debt_to_ebitda_score,net_debt_to_ebitda_score,leverage_score,interest_coverage,cash_interest_coverage,interest_coverage_score,cash_interest_coverage_score,coverage_score,capex_to_revenue,capex_to_ebitda,capex_to_revenue_score,capex_to_ebitda_score,capex_burden_score,lbo_financial_score,lbo_status,lbo_rating,financial_feasibility_score,financial_red_flag,financial_metric_count,financial_data_complete
17,ADBE,2025,Technology,False,True,True,True,False,True,False,9852000000.0,0.4144894610627288,1.003769740193581,5.0,5.0,5.0,5.0,1.481949458483754,5.0,5.0,0.677330616403464,0.1239938869077942,5,5,5.0,34.20912547528517,36.63878326996198,5.0,5.0,5.0,0.007530817451302116,0.01823739174732552,5.0,5.0,5.0,100.0,Fail,Situational,1.0,False,6,True
1,APP,2025,Communication Services,False,True,True,True,True,True,True,3942776000.0,0.7193905468937732,0.9054061998243739,4.0,5.0,5.0,4.666666666666667,1.112288880908365,5.0,5.0,0.8140027427811397,0.2428741425364388,5,5,5.0,20.09470765544692,20.89880009274646,5.0,5.0,5.0,0.005166842221556048,0.006502853006771528,5.0,5.0,5.0,98.0,Pass,Ideal,0.98,False,6,True
2,ACN,2025,Technology,False,True,True,True,True,True,True,10874360000.0,0.1560771545616602,0.9163271983688331,5.0,4.0,5.0,4.666666666666667,1.328918254313342,5.0,5.0,0.6895286413552227,-0.2777256692805368,5,5,5.0,47.43273172759292,49.2979545404826,5.0,5.0,5.0,0.008612219914185667,0.05056224511438248,5.0,4.0,4.5,96.5,Pass,Ideal,0.965,False,6,True
18,MO,2025,Consumer Defensive,False,True,True,True,False,True,False,9074000000.0,0.4505685485873182,0.8377031019202363,5.0,5.0,5.0,5.0,0.3529503286786728,5.0,5.0,2.373430576070901,1.960395125553914,3,4,3.5,8.977060322854715,9.019541206457093,5.0,5.0,5.0,0.01072545806643825,0.01994091580502216,5.0,5.0,5.0,95.5,Fail,Situational,0.955,False,6,True
19,ADSK,2025,Technology,False,True,True,True,False,True,False,1505000000.0,0.245473821562551,0.9715945771465462,4.0,5.0,5.0,4.666666666666667,0.5881203595154357,5.0,5.0,1.65203357004519,0.6197546804389928,4,5,4.5,40.26470588235294,42.55882352941177,5.0,5.0,5.0,0.01663676398629913,0.065848934796643,5.0,4.0,4.5,95.0,Fail,Situational,0.95,False,6,True
3,AMD,2025,Technology,False,True,True,True,True,True,True,6735000000.0,0.1944340194578365,0.9257731958762887,5.0,4.0,5.0,4.666666666666667,1.750714842734598,5.0,5.0,0.5287972508591066,-0.2325773195876289,5,5,5.0,32.6030534351145,48.09923664122137,5.0,5.0,5.0,0.02811859464765149,0.1338831615120275,4.0,3.0,3.5,93.50000000000001,Pass,Ideal,0.9350000000000002,False,6,True
4,AME,2025,Industrials,False,True,True,True,True,True,True,1671515000.0,0.2258463453349468,0.7259890453297151,4.0,5.0,4.0,4.333333333333333,0.7129692267925587,5.0,5.0,1.018261403224552,0.8193595630988053,4,5,4.5,23.1323134861053,26.73282546090039,5.0,5.0,5.0,0.01759842704802897,0.05657060880465011,5.0,4.0,4.5,92.99999999999999,Pass,Ideal,0.9299999999999998,False,6,True
5,ADP,2025,Technology,False,True,True,True,True,True,True,4392700000.0,0.2136433716422919,0.69193812614202,4.0,5.0,4.0,4.333333333333333,0.4845566660048095,5.0,5.0,1.427981853695419,0.9006363808203642,4,5,4.5,12.64751041895152,12.72515902610222,5.0,5.0,5.0,0.02660389379842322,0.08616344275723017,4.0,4.0,4.0,91.49999999999999,Pass,Ideal,0.9149999999999998,False,6,True
6,ADI,2025,Technology,False,True,True,True,True,True,True,4278650000.0,0.3882725738533702,0.8508507115097761,4.0,5.0,5.0,4.666666666666667,0.4938075689500162,5.0,5.0,1.723041048801543,1.226010122352358,4,4,4.0,9.536277681954953,14.14823616059626,5.0,5.0,5.0,0.04841798425312034,0.1061019477703163,4.0,3.0,3.5,90.5,Pass,Ideal,0.905,False,6,True
7,ABT,2025,Healthcare,False,True,True,True,True,True,True,7395000000.0,0.1668245804006497,0.6124223602484472,5.0,4.0,4.0,4.333333333333333,0.5335497835497836,5.0,5.0,1.147826086956522,0.4420703933747412,4,5,4.5,18.17241379310345,20.08924949290061,5.0,5.0,5.0,0.04897581663959574,0.1797929606625259,4.0,3.0,3.5,90.0,Pass,Ideal,0.9,False,6,True
