ticker,innovation_decay_score,strategic_decay_score,topic_rigidity_score,management_confidence_score,innovation_decay_zscore,topic_rigidity_zscore,strategic_decay_zscore,management_confidence_zscore,management_confidence_zscore_aligned,final_stagnation_score
NTAP,,,,0.185676357,,,,-3.217607358,3.217607358,3.217607358
DE,,,,0.266173792,,,,-2.530637118,2.530637118,2.530637118
MSI,0.029736129,0.056826021,0.583183348,0.43348426,5.290770703,-2.15475485,3.689247931,-1.102798918,1.102798918,1.982015676
SNPS,0.038987498,0.005993802,0.724078655,0.379518185,6.936597999,-1.137729393,0.52016661,-1.563348844,1.563348844,1.970596015
EL,0.027258203,0.007869829,0.903317928,0.365212307,4.849945212,0.15607455,0.637125543,-1.685436121,1.685436121,1.832145357
BK,-0.01984127,0.138888889,0.938661695,0.445745163,-3.529095933,0.411196674,8.805371356,-0.998163589,0.998163589,1.671408922
EME,0,0.055602572,0.787899733,0.23852249,0.000684927,-0.677049319,3.612973279,-2.766615089,2.766615089,1.425805994
BMY,0.013592643,0.004650654,0.982957542,0.318182552,2.418829147,0.73093766,0.436429427,-2.086791048,2.086791048,1.41824682
D,0.010085798,0.056619517,0.794419348,0.560323893,1.79495798,-0.629988738,3.676373646,-0.020341405,0.020341405,1.215421073
RCL,0.001884995,0.010136423,1.000000119,0.256826576,0.336027267,0.8539562,0.778433918,-2.610406859,2.610406859,1.144706061
CPT,0.019460683,0.006592827,0.984922349,0.630684512,3.462759013,0.745120242,0.55751217,0.580120607,-0.580120607,1.046317704
FSLR,0.010547379,-0.00023529,0.991741717,0.414838417,1.87707377,0.794344524,0.131820378,-1.26192373,1.26192373,1.016290601
MOS,0,-0.000577528,0.997196913,0.236445795,0.000684927,0.833721798,0.110483882,-2.784337744,2.784337744,0.932307088
IT,0.022950458,-0.006148221,0.989916325,0.676289435,4.083593283,0.781168284,-0.236815132,0.969315923,-0.969315923,0.914657628
SRE,0.002259983,0.042937146,0.889729917,0.538388296,0.402738018,0.057992125,2.823360586,-0.207541186,0.207541186,0.872907979
COST,0.001215181,0.002969906,0.995623171,0.323261017,0.216866827,0.822362051,0.331644938,-2.043451098,2.043451098,0.853581228
APTV,0.003051269,0.001635514,0.989202321,0.359499187,0.543508607,0.776014384,0.248453712,-1.734192247,1.734192247,0.825542237
BF-B,0.001401635,0.004406905,0.863623142,0.240552286,0.250037204,-0.130454568,0.421233131,-2.749292684,2.749292684,0.822527113
DOV,0.012346158,0.024413141,0.754974782,0.534906506,2.197078194,-0.914711688,1.66850094,-0.237255009,0.237255009,0.797030613
DXCM,0.011954443,0.005570144,0.97636646,0.582738676,2.127391845,0.683361216,0.493754096,0.170947786,-0.170947786,0.783389843
KLAC,0.021480768,-0.017731168,0.869418144,0.521282022,3.82213407,-0.088624469,-0.958941801,-0.353527225,0.353527225,0.782023756
AMD,0.00698774,-0.007971243,0.867838442,0.300143002,1.243810559,-0.100027241,-0.3504695,-2.240741714,2.240741714,0.758513883
BLK,,,0.991744995,0.480292688,,0.794368187,,-0.703332811,0.703332811,0.748850499
TDY,0.00472661,-0.000498008,0.990166247,0.420696154,0.841553328,0.782972299,0.115441496,-1.211933434,1.211933434,0.737975139
DPZ,-4.75E-05,-0.00651906,0.995003223,0.298882423,-0.007768648,0.817887077,-0.25993469,-2.251499573,2.251499573,0.700420828
HAL,0.000907459,1.17E-06,0.956175625,0.353946491,0.162122722,0.537617588,0.146562387,-1.781579305,1.781579305,0.656970501
