ticker,company,sector,sub_industry,cik,sec_company_title,fetch_success,error,year,filed,revenue,gross_profit,operating_income,depreciation_amortization,ebit,ebitda,interest_expense,operating_cash_flow,capex,fcf,free_cash_flow,total_debt,cash,net_debt,current_assets,current_liabilities,fcf_margin,fcf_conversion,fcf_to_debt,debt_to_ebitda,net_debt_to_ebitda,interest_coverage,cash_interest_coverage,current_ratio,capex_to_revenue,capex_to_ebitda,usable_metric_count,revenue_concept,debt_concept
MMM,3M,Industrials,Industrial Conglomerates,0000066740,3M CO,True,,2025.0,2026-02-03,24610000000.0,,-10689000000.0,1987000000.0,-10689000000.0,-8702000000.0,488000000.0,6680000000.0,1615000000.0,5065000000.0,5065000000.0,1919000000.0,3655000000.0,-1736000000.0,15884000000.0,11256000000.0,0.20581064607882973,-0.5820501034245001,2.639395518499218,-0.2205240174672489,0.1994943691105493,-21.903688524590162,13.688524590163935,1.4111584932480454,0.06562373019097928,-0.185589519650655,18,RevenueFromContractWithCustomerExcludingAssessedTax,DebtCurrent
AOS,A. O. Smith,Industrials,Building Products,0000091142,SMITH A O CORP,True,,2025.0,2026-02-10,3852800000.0,1484800000.0,745500000.0,78300000.0,745500000.0,823800000.0,12000000.0,670300000.0,72600000.0,597700000.0,597700000.0,193200000.0,239600000.0,-46400000.0,1392900000.0,897200000.0,0.15513392857142858,0.7255401796552561,3.0936853002070395,0.23452294246176256,-0.05632435057052683,62.125,55.858333333333334,1.5524966562639322,0.01884343853820598,0.08812818645302258,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,ABBOTT LABORATORIES,True,,2025.0,2026-02-20,40109000000.0,3739000000.0,6478000000.0,1277000000.0,6478000000.0,7755000000.0,533000000.0,7261000000.0,2202000000.0,5059000000.0,5059000000.0,14125000000.0,7616000000.0,6509000000.0,23656000000.0,14157000000.0,0.12613129222867686,0.6523533204384269,0.3581592920353982,1.8214055448098,0.8393294648613797,12.153846153846153,13.622889305816136,1.6709754891573074,0.054900396419756164,0.2839458413926499,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie Inc.,True,,2025.0,2026-02-20,54318000000.0,12066000000.0,12757000000.0,752000000.0,12757000000.0,13509000000.0,2224000000.0,22839000000.0,777000000.0,22062000000.0,22062000000.0,64503000000.0,5524000000.0,58979000000.0,25582000000.0,38749000000.0,0.40616370264000884,1.633133466577837,0.34203060322775686,4.7748167888074615,4.36590421200681,5.736061151079137,10.269334532374101,0.6601976825208392,0.014304650392135203,0.05751721074838996,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture plc,True,,2025.0,2025-10-10,64111745000.0,,8809889000.0,620659000.0,8809889000.0,9430548000.0,47525000.0,9524268000.0,528172000.0,8996096000.0,8996096000.0,946229000.0,5004469000.0,-4058240000.0,20857781000.0,18976127000.0,0.14031900083206283,0.9539314152263474,9.507313768654312,0.10033658701487973,-0.4303291812946607,185.37378221988428,200.4054287217254,1.099159011741437,0.008238303293725666,0.056006501424943705,18,Revenues,DebtCurrent
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,ADOBE INC.,True,,2025.0,2026-01-15,19409000000.0,17055000000.0,6650000000.0,872000000.0,6650000000.0,7522000000.0,113000000.0,7302000000.0,360000000.0,6942000000.0,6942000000.0,1499000000.0,7613000000.0,-6114000000.0,11232000000.0,10521000000.0,0.3576691225720027,0.9228928476469024,4.631087391594396,0.19928210582291944,-0.8128157404945493,58.849557522123895,64.61946902654867,1.067579127459367,0.01854809624401051,0.04785961180537091,19,Revenues,DebtCurrent
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,ADVANCED MICRO DEVICES INC,True,,2025.0,2026-02-04,22680000000.0,10460000000.0,401000000.0,441000000.0,401000000.0,842000000.0,106000000.0,1667000000.0,546000000.0,1121000000.0,1121000000.0,330000000.0,3933000000.0,-3603000000.0,19049000000.0,7281000000.0,0.04942680776014109,1.331353919239905,3.396969696969697,0.3919239904988123,-4.279097387173397,3.7830188679245285,15.726415094339623,2.6162615025408598,0.024074074074074074,0.6484560570071259,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES CORP,True,,2025.0,2026-03-02,12668000000.0,2504000000.0,,1147000000.0,,,1319000000.0,3034000000.0,7724000000.0,-4690000000.0,-4690000000.0,,1524000000.0,,6649000000.0,8571000000.0,-0.3702241869276918,,,,,,2.3002274450341167,0.7757554544393886,0.6097252920745184,,12,Revenues,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,"AGILENT TECHNOLOGIES, INC.",True,,2025.0,2025-12-22,6833000000.0,,1350000000.0,271000000.0,1350000000.0,1621000000.0,95000000.0,1772000000.0,298000000.0,1474000000.0,1474000000.0,3345000000.0,1590000000.0,1755000000.0,3959000000.0,1895000000.0,0.215717839894629,0.9093152375077113,0.4406576980568012,2.063541024059223,1.08266502159161,14.210526315789474,18.652631578947368,2.0891820580474936,0.04361188350651251,0.1838371375694016,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
APD,Air Products,Materials,Industrial Gases,0000002969,"Air Products & Chemicals, Inc.",True,,2025.0,2025-11-20,12600000000.0,651000000.0,2494600000.0,1358300000.0,2494600000.0,3852900000.0,141800000.0,3205700000.0,4626400000.0,-1420700000.0,-1420700000.0,4384700000.0,2979700000.0,1405000000.0,6363000000.0,4179600000.0,-0.11275396825396826,-0.3687352383918607,-0.3240130453622825,1.1380259025668977,0.3646603856835111,17.59238363892807,22.60719322990127,1.5223944875107667,0.36717460317460315,1.2007578706948012,19,Revenues,LongTermDebt
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,"Airbnb, Inc.",True,,2025.0,2026-02-12,9917000000.0,,1518000000.0,18000000.0,1518000000.0,1536000000.0,,3884000000.0,37000000.0,3847000000.0,3847000000.0,2000000000.0,6864000000.0,-4864000000.0,17180000000.0,10161000000.0,0.38791973379046085,2.5045572916666665,1.9235,1.3020833333333333,-3.1666666666666665,,,1.6907784666863497,0.003730967026318443,0.024088541666666668,16,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,AKAMAI TECHNOLOGIES INC,True,,2017.0,2018-03-01,2197448000.0,,637338000.0,570776000.0,637338000.0,1208114000.0,72332000.0,1348439000.0,457909000.0,890530000.0,890530000.0,,489468000.0,,2578097000.0,2091323000.0,0.4052564611312759,0.7371241455690439,,,,8.811286843997124,18.642357462810374,1.2327588803833744,0.2083821778717858,0.3790279725257716,15,Revenues,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,ALBEMARLE CORP,True,,2025.0,2026-02-11,9617203000.0,1185909000.0,251881000.0,429944000.0,251881000.0,681825000.0,116072000.0,1326583000.0,2154542000.0,-827959000.0,-827959000.0,3516165000.0,1499142000.0,2017023000.0,3842262000.0,1966464000.0,-0.08609145507274828,-1.2143277233894327,-0.23547216925258058,5.156990430095699,2.9582708172918273,2.1700410090288784,11.428966503549521,1.953893892794376,0.2240300012384058,3.1599633336999964,19,Revenues,LongTermDebt
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",True,,,,,,,1093473000.0,,,74204000.0,1630550000.0,,,,12400555000.0,552146000.0,11848409000.0,,,,,,,,,21.973882809552045,,,,5,,LongTermDebt
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,ALIGN TECHNOLOGY INC,True,,2025.0,2026-02-27,3862260000.0,2706863000.0,643338000.0,142401000.0,643338000.0,785739000.0,85000.0,785776000.0,177716000.0,608060000.0,608060000.0,,1043887000.0,,2492441000.0,2038027000.0,0.15743631966775928,0.7738702037190467,,,,7568.682352941177,9244.423529411764,1.2229676054340792,0.04601347397637653,0.2261768857088677,16,RevenueFromContractWithCustomerExcludingAssessedTax,
