rank,ticker,sector,final_score,nlp_stagnation_score,financial_feasibility_score,lbo_financial_score,financial_red_flag,candidate_label,lbo_status,lbo_rating,fcf,fcf_margin,fcf_to_debt,debt_to_ebitda,interest_coverage,capex_to_ebitda
1,MSI,Information Technology,0.973,1.0,0.91,91.0,False,Strong candidate,Pass,Ideal,1791000000.0,0.1794948887552615,1.364051789794364,0.4954716981132075,9.21285140562249,0.0954716981132075
2,SNPS,Information Technology,0.9038479172354589,0.9976398817649412,0.685,68.5,True,"High NLP signal, financial caution",Fail,Marginal,1513656000.0,0.2846280585195902,0.1122514232065446,8.869296659538964,378.377117384844,0.1247192274982421
3,EL,Consumer Staples,0.8973182556000409,0.96902607942863,0.73,73.0,False,Strong candidate,Pass,Attractive,728000000.0,0.045757385292269,1.4444444444444444,0.2237017310252996,9.035928143712574,0.4451841988459831
4,EME,Industrials,0.8850331254488988,0.8850473220698556,0.885,88.5,False,Strong candidate,Pass,Ideal,821251000.0,0.0652673677943026,inf,0.0,50.91900691900692,0.0845255062107984
5,COST,Consumer Staples,0.7887493481237943,0.7667847830339919,0.84,84.0,False,Review candidate,Fail,Marginal,6745000000.0,0.0278385405918527,0.8808933002481389,0.7513492297124914,50.7125,0.4241978216073006
6,QCOM,Information Technology,0.7873376299998095,0.7154823285711565,0.955,95.5,False,Review candidate,Pass,Ideal,9849000000.0,0.2749581239530988,7.220674486803519,0.1421277482546629,11.221902017291066,0.1510888819422736
7,DOV,Industrials,0.7865681686329407,0.7550973837613438,0.86,86.0,False,Review candidate,Pass,Ideal,1036140000.0,0.1348354786975715,0.3537814847732331,1.9212699408155152,11.468693272133862,0.1203146709560439
8,DXCM,Health Care,0.774094757950078,0.7522782256429688,0.825,82.5,False,Review candidate,Pass,Attractive,511900000.0,0.141319051431411,111.28260869565216,0.0058695929564884,31.79255319148936,0.3019012377185147
9,PLTR,Information Technology,0.7721251801225903,0.7044645430322721,0.9299999999999998,93.0,False,Review candidate,Pass,Ideal,697069000.0,0.3132877485604572,3.520959505397092,1.291266631881033,32.957692307692305,0.0985781372293242
10,KLAC,Information Technology,0.77089712609502,0.7519958944214573,0.815,81.5,False,Review candidate,Pass,Attractive,3328214000.0,0.3170918676500964,0.5660036335504972,4.107896395093605,6.459911776670396,0.2386348552993563
11,MPC,Energy,0.7705065873056864,0.7192951247224094,0.8899999999999999,88.99999999999999,False,Review candidate,Pass,Ideal,12227000000.0,0.0824038442097601,4.010167267956708,0.1710902867403625,27.645714285714284,0.1060546546209528
12,DHR,Health Care,0.7674293655060851,0.6998990935801216,0.925,92.5,False,Review candidate,Pass,Ideal,5781000000.0,0.2419840937630807,11.447524752475248,0.085928194657138,22.51948051948052,0.2353241449719244
13,TDY,Information Technology,0.766024611101136,0.7428923015730514,0.82,82.0,False,Review candidate,Pass,Attractive,721200000.0,0.127974447697631,0.2722536806342016,1.9610601125259104,11.392070484581495,0.0850607047675451
14,UNH,Health Care,0.7634008739226482,0.7027155341752119,0.9049999999999998,90.5,False,Review candidate,Fail,Situational,25682000000.0,0.0691078569083638,5.6506050605060505,0.125103220478943,9.968576709796674,0.0932012111202862
15,MOS,Materials,0.7626386211004332,0.783055173000619,0.715,71.5,False,Review candidate,Fail,Marginal,1004800000.0,0.0733639503216244,0.2631055250065462,1.661373819985209,7.07989417989418,0.6100839604994127
16,AMD,Information Technology,0.7569959519288297,0.7471370741840425,0.78,78.0,False,Review candidate,Fail,Marginal,1121000000.0,0.049426807760141,3.396969696969697,0.3919239904988123,3.783018867924529,0.6484560570071259
17,GILD,Health Care,0.7548313262634099,0.6754733232334429,0.9399999999999998,94.0,False,Review candidate,Pass,Ideal,7421000000.0,0.2736760584156955,4.08870523415978,0.2280437240859404,7.597402597402597,0.073501696192989
18,MCHP,Information Technology,0.7545850744478049,0.7051215349254356,0.87,87.0,False,Review candidate,Pass,Ideal,3134800000.0,0.3714790192802208,0.52248408280276,1.45824421543846,12.124513618677042,0.1181703286019832
19,NVDA,Information Technology,0.7534056528363549,0.6562937897662213,0.98,98.0,False,Review candidate,Pass,Ideal,27021000000.0,0.4435343554052723,inf,0.0,139.71186440677965,0.0310034802784222
20,FAST,Industrials,0.751572869783403,0.6901040996905757,0.8950000000000001,89.50000000000001,False,Review candidate,Pass,Ideal,1259900000.0,0.1714919623776661,6.2995,0.1172332942555685,157.5979381443299,0.1012895662368112
21,RCL,Consumer Discretionary,0.7513663881067862,0.8269519830096947,0.575,57.5,False,Review candidate,Fail,Marginal,580000000.0,0.0417266187050359,0.3618215845290081,0.369951534733441,2.2275541795665634,0.8993768751442419
