rank,ticker,sector,final_score,nlp_stagnation_score,financial_feasibility_score,lbo_financial_score,financial_red_flag,candidate_label,lbo_status,lbo_rating,innovation_decay_slope,strategic_decay_slope,topic_rigidity,sentiment_growth_correlation,fcf,fcf_margin,fcf_to_debt,debt_to_ebitda,interest_coverage,capex_to_ebitda,start_price,return_3m,return_6m,return_12m,score_bucket
1,ADI,Technology,0.8327116460138304,0.8017309228769005,0.905,90.5,False,Strong candidate,Pass,Ideal,0.0022111662536183,0.0010341800564771,0.8484824299812317,0.3986203567942473,4278650000.0,0.3882725738533702,0.4938075689500162,1.723041048801543,9.536277681954951,0.1061019477703163,,,,,1
2,ABBV,Healthcare,0.8095308118738995,0.7921868741055708,0.85,85.0,False,Strong candidate,Fail,Situational,5.576728798991581e-05,0.000431831910671,0.9926548600196838,1.0,17816000000.0,0.2913015042511445,0.2639563826004504,3.828691360825912,3.280331835464915,0.0688638039593851,,,,,1
3,APH,Technology,0.7998025693648712,0.7718608133783873,0.865,86.5,False,Review candidate,Pass,Ideal,9.674940784290634e-05,0.0001294304849789,0.9770560264587402,1.0,4378100000.0,0.189571633318467,0.282421623016385,2.249633574714478,16.22756933115824,0.1446255206141433,,,,,1
4,ABT,Healthcare,0.7816428170942396,0.7309183101346279,0.9,90.0,False,Review candidate,Pass,Ideal,-0.0002617708667981,0.0011870035485577,0.7953909039497375,1.0,7395000000.0,0.1668245804006497,0.5335497835497836,1.147826086956522,18.17241379310345,0.1797929606625259,,,,,1
5,ALGN,Healthcare,0.7473204182181814,0.7183148831688306,0.815,81.5,False,Review candidate,Pass,Attractive,7.593850667538018e-05,-0.0005616885984497,0.9390344619750975,1.0,490778000.0,0.1216313206264046,4.288293168830715,0.1391022999780005,36.47933935805547,0.1245157989029434,,,,,1
6,MO,Consumer Defensive,0.719943434067071,0.6192049058101015,0.955,95.5,False,Review candidate,Fail,Situational,0.0,0.0,0.9977911114692688,-0.1964560909850907,9074000000.0,0.4505685485873182,0.3529503286786728,2.373430576070901,8.977060322854715,0.0199409158050221,,,,,1
7,AMD,Technology,0.696540778860115,0.5943439698001642,0.9350000000000002,93.5,False,Lower priority,Pass,Ideal,-9.306594732087252e-05,-0.0003709702085482,0.9967130422592164,-0.1964560909850907,6735000000.0,0.1944340194578365,1.750714842734598,0.5287972508591066,32.6030534351145,0.1338831615120275,,,,,2
8,AMGN,Healthcare,0.6665127375921422,0.6607324822744891,0.6799999999999998,67.99999999999999,False,Lower priority,Pass,Marginal,9.985738912323314e-05,0.0001974373689122,0.7073373794555664,1.0,8100000000.0,0.2204021659274578,0.1483407808951725,3.231388329979879,4.258076225045372,0.1099538406912061,,,,,2
9,ADBE,Technology,0.6631659191631715,0.5188084559473879,1.0,100.0,False,Lower priority,Fail,Situational,0.000177383077866,-6.743310676442804e-05,0.9840743541717528,-1.0,9852000000.0,0.4144894610627288,1.481949458483754,0.677330616403464,34.20912547528517,0.0182373917473255,,,,,2
10,ACN,Technology,0.645955825809798,0.5092226082997116,0.965,96.5,False,Lower priority,Pass,Ideal,2.2095505060522987e-05,-0.0002578992356435,0.9926217198371888,-0.9598822228409456,10874360000.0,0.1560771545616602,1.328918254313342,0.6895286413552227,47.43273172759292,0.0505622451143824,,,,,2
11,MMM,Industrials,0.6299967201559269,0.6192810287941813,0.655,65.5,False,Lower priority,Pass,Marginal,0.0,0.0,0.9979698657989502,-0.1964560909850907,1396000000.0,0.0559563892897226,0.1107760672909062,1.948662440080408,5.453488372093023,0.1407143961651461,,,,,2
12,ARE,Real Estate,0.6138285361568018,0.621897908795431,0.5950000000000001,59.50000000000001,True,Financial caution,Fail,Marginal,0.0003817332904171,0.0001282359735988,0.9406938552856444,-0.1964560909850907,1402750000.0,0.4762874871612043,0.1099239266088232,35.403240393952,-4.367166891635568,0.0313386045221251,,,,,2
13,APTV,Consumer Cyclical,0.6118515644727758,0.5933593778182512,0.655,65.5,False,Lower priority,Pass,Marginal,-0.0002030216252568,-0.0002412428061616,0.9921420812606812,-0.1964560909850907,1529000000.0,0.0749583292479654,0.1889053619965406,3.564068692206077,3.545706371191136,0.2888595332452664,,,,,3
14,APP,Communication Services,0.5949997343589941,0.4299996205128489,0.98,98.0,False,Lower priority,Pass,Ideal,-0.0006573412062389,-9.335385700381108e-05,0.8828679919242859,-1.0,3942776000.0,0.7193905468937732,1.112288880908365,0.8140027427811397,20.09470765544692,0.0065028530067715,,,,,3
15,AME,Industrials,0.5448154983700902,0.3797364262429862,0.9299999999999998,93.0,False,Lower priority,Pass,Ideal,-0.0001263581262127,-7.509708775767467e-07,0.6871848106384277,-1.0,1671515000.0,0.2258463453349468,0.7129692267925587,1.018261403224552,23.1323134861053,0.0565706088046501,,,,,3
16,ALLE,Industrials,0.5390414556813969,0.4014877938305671,0.86,86.0,False,Lower priority,Pass,Ideal,-8.205422295468089e-06,-0.0001815666629425,0.745790421962738,-1.0,685700000.0,0.1685884985125267,0.3462956416342609,1.974965090764013,8.607920792079208,0.0978456014362657,,,,,3
17,AWK,Utilities,0.5338297129221528,0.7433281613173611,0.045,4.5,True,Financial caution,Fail,Marginal,-0.0004236092075979,-1.2654108669485858e-05,0.9924771189689636,1.0,-1242000000.0,-0.2416342412451362,-0.078024877497173,5.430910951893551,3.312195121951219,1.126236779256226,,,,,3
18,APD,Basic Materials,0.5283162043786975,0.7547374348267109,0.0,0.0,True,Financial caution,Fail,Marginal,0.0001692715890859,-0.0003424800372653,0.986044466495514,0.9995757269055738,-3765800000.0,-0.3128442424796258,-0.2045941041605546,13.76164485981308,-1.059345794392523,5.250542056074766,,,,,3
19,ALB,Basic Materials,0.5103989632177572,0.5362842331682248,0.4499999999999999,44.99999999999999,True,Financial caution,Fail,Marginal,0.0,0.0,0.8030742406845093,-0.1964560909850907,692466000.0,0.1346494169539815,0.2100513521146157,10.49033590448552,-1.658658036802134,1.876816989969961,,,,,4
20,AOS,Industrials,0.4819572826717276,0.3092246895310395,0.885,88.5,False,Lower priority,Pass,Ideal,-0.0016270283966846,0.0003196201126255,0.6693810820579529,-1.0,546000000.0,0.1425513028040311,2.842269651223321,0.2360820941378887,53.97037037037037,0.087009954528696,,,,,4
21,AKAM,Technology,0.4750464259991922,0.4386377514274174,0.56,56.00000000000001,True,Financial caution,Fail,Marginal,-0.0002336316965228,-0.0002298190063947,0.867095410823822,-1.0,699265000.0,0.1661682320720978,0.1232100783241604,4.229761323619832,20.58467440423941,0.6107581375416892,,,,,4
22,AEP,Utilities,0.4408126914077863,0.6168752734396947,0.03,3.0,True,Financial caution,Fail,Marginal,0.0,0.0,0.9923205971717834,-0.1964560909850907,-1639000000.0,-0.0749222892667763,-0.0331057606851418,5.358588591838943,2.838104639684107,0.9289966446585128,,,,,4
23,LNT,Utilities,0.437662753293564,0.6123753618479486,0.03,3.0,True,Financial caution,Fail,Marginal,0.0,0.0,0.9817537665367126,-0.1964560909850907,-1314000000.0,-0.3012379642365887,-0.1084516342027072,6.079277471149021,2.360082304526749,1.24586051179127,,,,,4
24,AES,Utilities,0.4373168472302909,0.6183097817575585,0.015,1.5,True,Financial caution,Fail,Marginal,0.0,0.0,0.9956891536712646,-0.1964560909850907,-1623000000.0,-0.1326739148205673,-0.0542863832491554,10.17250765566519,1.053304904051173,2.017352841102416,,,,,4
