lbo_rank,ticker,company,sector,sub_industry,cik,sec_company_title,fetch_success,error,year,filed,revenue,gross_profit,operating_income,depreciation_amortization,ebit,ebitda,interest_expense,operating_cash_flow,capex,fcf,free_cash_flow,total_debt,cash,net_debt,current_assets,current_liabilities,fcf_margin,fcf_conversion,fcf_to_debt,debt_to_ebitda,net_debt_to_ebitda,interest_coverage,cash_interest_coverage,current_ratio,capex_to_revenue,capex_to_ebitda,usable_metric_count,revenue_concept,debt_concept,fcf_score,fcf_margin_score,fcf_conversion_score,fcf_to_debt_score,debt_to_ebitda_score,net_debt_to_ebitda_score,interest_coverage_score,cash_interest_coverage_score,capex_to_revenue_score,capex_to_ebitda_score,cash_flow_strength_score,deleveraging_capacity_score,leverage_score,coverage_score,capex_burden_score,lbo_financial_score,financial_feasibility_score,missing_critical_data,pass_fcf_filter,pass_interest_coverage_filter,pass_debt_to_ebitda_filter,pass_current_ratio_filter,pass_capex_to_ebitda_filter,pass_hard_filters,financial_red_flag,lbo_rating,lbo_status
1,ADBE,Adobe Inc.,Information Technology,Application Software,796343,ADOBE INC.,True,,2025.0,2026-01-15,19409000000.0,17055000000.0,6650000000.0,872000000.0,6650000000.0,7522000000.0,113000000.0,7302000000.0,360000000.0,6942000000.0,6942000000.0,1499000000.0,7613000000.0,-6114000000.0,11232000000.0,10521000000.0,0.3576691225720027,0.9228928476469024,4.631087391594396,0.1992821058229194,-0.8128157404945493,58.849557522123895,64.61946902654867,1.067579127459367,0.0185480962440105,0.0478596118053709,19,Revenues,DebtCurrent,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,1.0,False,True,True,True,True,True,True,False,Ideal,Pass
2,CSCO,Cisco,Information Technology,Communications Equipment,858877,"CISCO SYSTEMS, INC.",True,,2025.0,2025-09-03,56998000000.0,35753000000.0,15031000000.0,700000000.0,15031000000.0,15731000000.0,434000000.0,19886000000.0,849000000.0,19037000000.0,19037000000.0,11341000000.0,7508000000.0,3833000000.0,36862000000.0,40584000000.0,0.3339941752342187,1.2101582861865108,1.678599770743321,0.7209331892441676,0.2436590172271311,34.633640552995395,45.82027649769585,0.9082889808791642,0.0148952594827888,0.0539698684126883,19,RevenueFromContractWithCustomerExcludingAssessedTax,DebtCurrent,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.5,98.5,0.985,False,True,True,True,False,True,False,False,Situational,Fail
3,ANET,Arista Networks,Information Technology,Communications Equipment,1596532,"Arista Networks, Inc.",True,,2025.0,2026-02-17,5860200000.0,3630300000.0,2257300000.0,70600000.0,2257300000.0,2327900000.0,3136000.0,2034000000.0,34400000.0,1999600000.0,1999600000.0,98793000.0,2762400000.0,-2663607000.0,11910900000.0,2732200000.0,0.3412170233097846,0.8589716053095064,20.240300426143552,0.0424386786373985,-1.144210232398299,719.8022959183673,648.5969387755102,4.359453919918015,0.0058701068222927,0.0147772670647364,19,RevenueFromContractWithCustomerExcludingAssessedTax,short_term_debt + long_term_debt,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5.0,5.0,5.0,5.0,98.0,0.98,False,True,True,True,True,True,True,False,Ideal,Pass
4,NVDA,Nvidia,Information Technology,Semiconductors,1045810,NVIDIA CORP,True,,2026.0,2026-02-25,60922000000.0,44301000000.0,32972000000.0,1508000000.0,32972000000.0,34480000000.0,236000000.0,28090000000.0,1069000000.0,27021000000.0,27021000000.0,0.0,8589000000.0,-8589000000.0,80126000000.0,18047000000.0,0.4435343554052723,0.7836716937354988,inf,0.0,-0.2491009280742459,139.71186440677965,119.02542372881356,4.439851498864077,0.0175470273464429,0.0310034802784222,19,Revenues,DebtCurrent,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5.0,5.0,5.0,5.0,98.0,0.98,False,True,True,True,True,True,True,False,Ideal,Pass
5,ADSK,Autodesk,Information Technology,Application Software,769397,"Autodesk, Inc.",True,,2026.0,2026-03-03,5497000000.0,4986000000.0,1128000000.0,139000000.0,1128000000.0,1267000000.0,71000000.0,1313000000.0,31000000.0,1282000000.0,1282000000.0,2500000000.0,1599000000.0,901000000.0,3482000000.0,5151000000.0,0.2332181189739858,1.011838989739542,0.5128,1.973164956590371,0.7111286503551697,15.887323943661972,18.492957746478872,0.6759852455833819,0.0056394396943787,0.0244672454617206,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5.0,4.5,5.0,5.0,96.5,0.965,False,True,True,True,False,True,False,False,Situational,Fail
6,NFLX,Netflix,Communication Services,Movies & Entertainment,1065280,NETFLIX INC,True,,2025.0,2026-01-23,33723297000.0,1650378000.0,6954003000.0,356947000.0,6954003000.0,7310950000.0,765620000.0,7274301000.0,348552000.0,6925749000.0,6925749000.0,20723441000.0,7804733000.0,12918708000.0,13100379000.0,10755400000.0,0.2053698664160861,0.9473117720679256,0.3341987944955666,2.834575670740465,1.7670354741859813,9.082838745069356,9.5011898853217,1.2180280603231866,0.0103356442283801,0.0476753363106025,19,Revenues,LongTermDebt,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,5.0,95.5,0.955,False,True,True,True,True,True,True,False,Ideal,Pass
7,AVGO,Broadcom,Information Technology,Semiconductors,1730168,Broadcom Inc.,True,,2025.0,2025-12-18,35819000000.0,24690000000.0,16207000000.0,502000000.0,16207000000.0,16709000000.0,1737000000.0,18085000000.0,452000000.0,17633000000.0,17633000000.0,40994000000.0,9348000000.0,31646000000.0,19595000000.0,16697000000.0,0.4922806331835059,1.055299539170507,0.4301361174806069,2.453408342809265,1.8939493686037463,9.330454807138745,10.411629245826138,1.1735641133137689,0.0126190010888076,0.0270512897241007,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,5.0,95.5,0.955,False,True,True,True,True,True,True,False,Ideal,Pass
8,QCOM,Qualcomm,Information Technology,Semiconductors,804328,QUALCOMM INC/DE,True,,2025.0,2025-11-05,35820000000.0,,7788000000.0,1809000000.0,7788000000.0,9597000000.0,694000000.0,11299000000.0,1450000000.0,9849000000.0,9849000000.0,1364000000.0,7849000000.0,-6485000000.0,25231000000.0,10504000000.0,0.2749581239530988,1.026258205689278,7.220674486803519,0.1421277482546629,-0.6757319995832031,11.221902017291066,16.280979827089336,2.402037319116527,0.0404801786711334,0.1510888819422736,18,Revenues,DebtCurrent,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.5,95.5,0.955,False,True,True,True,True,True,True,False,Ideal,Pass
9,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,6951,APPLIED MATERIALS INC /DE,True,,2025.0,2025-12-12,26517000000.0,12384000000.0,7654000000.0,515000000.0,7654000000.0,8169000000.0,236000000.0,8700000000.0,1106000000.0,7594000000.0,7594000000.0,5313000000.0,6132000000.0,-819000000.0,21220000000.0,8468000000.0,0.2863823207753516,0.9296119476068062,1.4293242988895165,0.6503856041131105,-0.1002570694087403,32.432203389830505,36.86440677966102,2.5059045819555976,0.0417090922804238,0.1353898886032562,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.5,95.5,0.955,False,True,True,True,True,True,True,False,Ideal,Pass
10,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1075531,Booking Holdings Inc.,True,,2025.0,2026-02-18,21365000000.0,12439000000.0,5835000000.0,504000000.0,5835000000.0,6339000000.0,334000000.0,7344000000.0,345000000.0,6999000000.0,6999000000.0,16598000000.0,16164000000.0,434000000.0,20491000000.0,15647000000.0,0.327591855838989,1.104117368670137,0.4216773105193396,2.618394068465057,0.0684650575800599,17.47005988023952,21.98802395209581,1.3095801112034255,0.0161479054528434,0.0544249881684808,19,Revenues,LongTermDebt,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.5,95.49999999999999,0.9549999999999998,False,True,True,True,True,True,True,False,Ideal,Pass
