signal_year,outcome_window,year_rank,ticker,historical_nlp_stagnation_score,usable_signal_components,signal_quality,innovation_freq,strategic_freq,sentiment_score,capex_growth,innovation_change_yoy,strategic_change_yoy,sentiment_change_yoy,topic_rigidity,sentiment_growth_correlation,innovation_decline_score,strategic_decline_score,sentiment_decline_score,topic_rigidity_score,sentiment_growth_mismatch_score,event_type,event_score,event_date,event_summary,source,notes,backtest_interpretation,research_question
2023,2023 to 2024,1,J,0.785628,5,usable,0.002389,0.004679,0.612923,-0.07735,-0.000626,-0.000848,-0.090067,0.997681,-0.794192,0.667607,0.67857,0.68882,0.99605,0.897096,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,2,NDSN,0.705012,5,usable,0.006129,0.002829,0.690978,0.327545,0.000319,-0.001944,0.029099,0.999031,-0.468097,0.449451,1.0,0.343211,0.998348,0.734048,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,3,JKHY,0.696972,5,usable,0.003305,0.00628,0.606279,-0.081483,-0.002065,-0.000129,0.080986,0.987838,-0.690437,1.0,0.467635,0.192724,0.979282,0.845219,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,4,FDS,0.688721,5,usable,0.003085,0.00561,0.663867,-0.188248,-0.001945,-0.000721,0.147438,0.981,-0.724748,0.972297,0.641301,0.0,0.967635,0.862374,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,5,FDX,0.683638,5,usable,0.014749,0.0,0.921227,0.087092,-0.000495,0.0,-0.000171,0.982295,-0.906311,0.637359,0.429735,0.4281,0.969841,0.953155,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,6,MDT,0.678676,5,usable,0.003435,0.0059,0.594911,-0.06652,-0.000707,-0.000947,0.090677,0.98599,-0.717439,0.686505,0.707403,0.16462,0.976135,0.85872,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,7,TSN,0.670315,5,usable,0.00849,0.002142,0.57971,-0.027557,7.6e-05,0.000302,-0.038602,0.987684,-0.972702,0.505462,0.341183,0.53956,0.97902,0.986351,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,8,PTC,0.656268,5,usable,0.005027,0.003397,0.526462,0.082206,0.000889,-0.000993,-0.049784,0.924891,-0.597145,0.317817,0.720901,0.57199,0.872058,0.798573,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,9,MCK,0.656176,5,usable,0.00505,0.001578,0.653688,-0.042991,-0.000435,-6.7e-05,0.064413,0.980611,-0.999895,0.623643,0.449524,0.240791,0.966972,0.999948,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2023,2023 to 2024,10,QCOM,0.648919,5,usable,0.006168,0.00599,0.437226,0.358974,-0.000141,0.000354,0.004995,0.970633,-0.999847,0.555708,0.325869,0.413119,0.949975,0.999924,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
