sector,company_count,avg_final_score,avg_nlp_score,avg_financial_score,red_flag_rate
Information Technology,57,0.6609775577153804,0.6127874884655812,0.773421052631579,0.19298245614035087
Consumer Staples,27,0.6453843700469938,0.6076125921306259,0.7335185185185185,0.1111111111111111
Industrials,58,0.64339117041903,0.5897952680862992,0.768448275862069,0.13793103448275862
Consumer Discretionary,30,0.6419948405224987,0.6031354864607125,0.7326666666666667,0.16666666666666666
Health Care,40,0.6366653561593659,0.5811826516562371,0.766125,0.1
Energy,10,0.6005957982162451,0.5547797117374931,0.7075,0.0
Materials,18,0.5982138416445838,0.562210249968453,0.6822222222222222,0.16666666666666666
Communication Services,14,0.5932535962577177,0.5445969742457191,0.7067857142857142,0.14285714285714285
Real Estate,16,0.5910323777757477,0.5810283968224967,0.614375,0.6875
Utilities,21,0.4953384287828391,0.6076263268326273,0.23333333333333334,0.8571428571428571
