,ticker,innovation_freq,innovation_decay_slope,topic_rigidity,topic_similarities,strategic_freq,strategic_decay_slope,latest_year,leverage_tolerance,debt_capacity,cash_flow_health,liquidity,growth_indicators,overall_feasibility,sentiment_by_year,capex_growth,sentiment_growth_correlation
0,MO,"{2025: 0.004451733833177133, 2026: 0.00441968231859213}",,0.9977911114692688,[np.float32(0.9977911)],"{2025: 0.004113297927730917, 2026: 0.0037768194358878205}",,2025,"{'interest_coverage': np.float64(8.977060322854715), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(2.228581979320532), 'debt_ebitda_rating': 'Elevated'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(9074000000.0), 'fcf_margin': np.float64(0.45056854858731815), 'fcf_margin_rating': 'Exceptional', 'ocf_to_debt': np.float64(0.3848384424192212), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(0.6480227223071882), 'rating': 'Weak', 'cash_and_equiv_usd': np.float64(4474000000.0)}","{'revenue_growth_yoy': np.float64(-0.01491880258266484), 'ebitda_growth_yoy': np.float64(-0.28112556410937084)}",Feasible – strong financial health,,,
1,APP,"{2023: 0.007352389526596143, 2024: 0.006349482473688789, 2025: 0.006856478791400349, 2026: 0.004992253399896712}",-0.0006573412062389,0.8828679919242859,"[np.float32(0.78179944), np.float32(0.9094051), np.float32(0.9573994)]","{2023: 0.008552779653387351, 2024: 0.007915108289118901, 2025: 0.008367228355607204, 2026: 0.008090893441211913}",-9.335385700381108e-05,2025,"{'interest_coverage': np.float64(20.09470765544692), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(0.8067108579595765), 'debt_ebitda_rating': 'Conservative'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(3942776000.0), 'fcf_margin': np.float64(0.7193905468937732), 'fcf_margin_rating': 'Exceptional', 'ocf_to_debt': np.float64(1.1304038415172046), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(3.3219612112269714), 'rating': 'Very Strong', 'cash_and_equiv_usd': np.float64(2487096000.0)}","{'revenue_growth_yoy': np.float64(0.6999436734698942), 'ebitda_growth_yoy': np.float64(0.8313758078787736)}",Feasible – strong financial health,"{2023: np.float64(0.5018092580504862), 2024: np.float64(0.5376092760513226), 2025: np.float64(0.48514763707831754)}","{2024: np.float64(0.6001032880013771), 2025: np.float64(-0.10820647282119517)}",-1.0
2,ACN,"{2022: 0.00409626216077829, 2023: 0.0037412314886983633, 2024: 0.0037025609379821045, 2025: 0.00418280402788536}",2.2095505060522987e-05,0.9926217198371888,"[np.float32(0.9819153), np.float32(0.99837655), np.float32(0.99757326)]","{2022: 0.007851169141491723, 2023: 0.008885424785658612, 2024: 0.009410675717371182, 2025: 0.006816421378776143}",-0.0002578992356435,2025,"{'interest_coverage': np.float64(47.43273172759292), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(0.4242039049548875), 'debt_ebitda_rating': 'Conservative'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(10874360000.0), 'fcf_margin': np.float64(0.15607715456166024), 'fcf_margin_rating': 'Excellent', 'ocf_to_debt': np.float64(2.279303495770603), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(1.4200349477501015), 'rating': 'Good', 'cash_and_equiv_usd': np.float64(11478729000.0)}","{'revenue_growth_yoy': np.float64(0.07360205326441206), 'ebitda_growth_yoy': np.float64(0.09514733318758849)}",Feasible – strong financial health,"{2022: np.float64(0.5716042012252189), 2023: np.float64(0.618631433557581), 2024: np.float64(0.6283145576577496), 2025: np.float64(0.6030543849257559)}","{2023: np.float64(0.26438235203997784), 2024: np.float64(0.02208182183076725), 2025: np.float64(-0.16172031852300733)}",-0.9598822228409456
3,AMD,"{2024: 0.006064162754303599, 2025: 0.007740585774058577, 2026: 0.005878030859662013}",-9.306594732087252e-05,0.9967130422592164,"[np.float32(0.9954549), np.float32(0.99797124)]","{2024: 0.003129890453834116, 2025: 0.0041841004184100415, 2026: 0.002387950036737693}",-0.0003709702085482,2025,"{'interest_coverage': np.float64(32.603053435114504), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(0.3227491408934708), 'debt_ebitda_rating': 'Conservative'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(6735000000.0), 'fcf_margin': np.float64(0.19443401945783653), 'fcf_margin_rating': 'Excellent', 'ocf_to_debt': np.float64(3.283219761499148), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(2.850026441036489), 'rating': 'Very Strong', 'cash_and_equiv_usd': np.float64(5539000000.0)}","{'revenue_growth_yoy': np.float64(0.34337793290672874), 'ebitda_growth_yoy': np.float64(0.4139941690962099)}",Feasible – strong financial health,"{2024: np.float64(0.5949717783058683), 2025: np.float64(0.5619112410183463)}",{2025: np.float64(-0.5314465408805031)},
4,ADBE,"{2023: 0.005222981116914423, 2024: 0.005125201347195783, 2025: 0.00520523497917906, 2026: 0.005787580165806351}",0.000177383077866,0.9840743541717528,"[np.float32(0.98305565), np.float32(0.97440505), np.float32(0.99476236)]","{2023: 0.0064282844515869825, 2024: 0.007321716210279689, 2025: 0.00669244497323022, 2026: 0.006413264508055686}",-6.743310676442804e-05,2025,"{'interest_coverage': np.float64(34.20912547528517), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(0.6327050433010698), 'debt_ebitda_rating': 'Conservative'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(9852000000.0), 'fcf_margin': np.float64(0.41448946106272877), 'fcf_margin_rating': 'Exceptional', 'ocf_to_debt': np.float64(1.6152979066022544), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(0.9963725490196078), 'rating': 'Marginal', 'cash_and_equiv_usd': np.float64(5431000000.0)}","{'revenue_growth_yoy': np.float64(0.10527784236224134), 'ebitda_growth_yoy': np.float64(0.23350508985798668)}",Feasible – strong financial health,"{2023: np.float64(0.5828006468140162), 2024: np.float64(0.610859914823915), 2025: np.float64(0.6214438451570459)}","{2024: np.float64(0.49166666666666664), 2025: np.float64(0.02185792349726776)}",-1.0
5,AOS,"{2023: 0.01798941798941799, 2024: 0.01488833746898263, 2025: 0.013010053222945003, 2026: 0.01319208474915051}",-0.0016270283966846,0.6693810820579529,"[np.float32(0.7542513), np.float32(0.6311229), np.float32(0.622769)]","{2023: 0.001763668430335097, 2024: 0.0020678246484698098, 2025: 0.0027597082594125765, 2026: 0.002598440935438737}",0.0003196201126255,2025,"{'interest_coverage': np.float64(53.97037037037037), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(0.13850313383310803), 'debt_ebitda_rating': 'Conservative'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(546000000.0), 'fcf_margin': np.float64(0.1425513028040311), 'fcf_margin_rating': 'Good', 'ocf_to_debt': np.float64(5.4729370008873115), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(1.4973913043478262), 'rating': 'Good', 'cash_and_equiv_usd': np.float64(174500000.0)}","{'revenue_growth_yoy': np.float64(0.0031691155286660906), 'ebitda_growth_yoy': np.float64(0.034583598219961854)}",Feasible – strong financial health,"{2023: np.float64(0.5396970627495111), 2024: np.float64(0.493650676998294), 2025: np.float64(0.44266065621170503)}","{2024: np.float64(-0.48760330578512395), 2025: np.float64(0.34444444444444444)}",-1.0
6,AKAM,"{2023: 0.006192213079989821, 2024: 0.005384485949856975, 2025: 0.004904069517336316, 2026: 0.00557357956908743}",-0.0002336316965228,0.867095410823822,"[np.float32(0.82964593), np.float32(0.8215286), np.float32(0.9501117)]","{2023: 0.008482483671218934, 2024: 0.008749789668517584, 2025: 0.008689667039490666, 2026: 0.007736461192912403}",-0.0002298190063947,2025,"{'interest_coverage': np.float64(20.584674404239408), 'rating': 'Very Strong', 'debt_to_ebitda': np.float64(3.059644873395316), 'debt_ebitda_rating': 'High'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(699265000.0), 'fcf_margin': np.float64(0.16616823207209777), 'fcf_margin_rating': 'Excellent', 'ocf_to_debt': np.float64(0.36994730053795594), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(2.3634495688969093), 'rating': 'Very Strong', 'cash_and_equiv_usd': np.float64(930231000.0)}","{'revenue_growth_yoy': np.float64(0.05437180294089349), 'ebitda_growth_yoy': np.float64(0.06275840765441094)}",Feasible – strong financial health,"{2023: np.float64(0.48574178760079134), 2024: np.float64(0.5137718212790787), 2025: np.float64(0.5153233781875519)}","{2024: np.float64(0.06132951619089365), 2025: np.float64(-0.19588423198548888)}",-1.0
7,ALL,"{2023: 0.004861933553574768, 2024: 0.0051143583227445995, 2025: 0.0049517207229512255, 2026: 0.004863930538248181}",-1.566466457733833e-05,0.985619843006134,"[np.float32(0.9833664), np.float32(0.98683673), np.float32(0.98665655)]","{2023: 0.005267094683039332, 2024: 0.0051143583227445995, 2025: 0.005553001096452446, 2026: 0.005627688226072276}",0.0001520423402807,2025,"{'interest_coverage': np.float64(33.97243107769424), 'rating': 'Very Strong', 'debt_to_ebitda': None, 'debt_ebitda_rating': 'N/A'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(9882000000.0), 'fcf_margin': np.float64(0.14734079828236593), 'fcf_margin_rating': 'Good', 'ocf_to_debt': np.float64(1.456772334293948), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': None, 'rating': 'N/A', 'cash_and_equiv_usd': np.float64(678000000.0)}","{'revenue_growth_yoy': np.float64(0.05595528615287727), 'ebitda_growth_yoy': None}",Marginally feasible – monitor key risks,"{2023: np.float64(0.6444734343770164), 2024: np.float64(0.658120370664251), 2025: np.float64(0.661168922666963)}","{2024: np.float64(0.21348314606741572), 2025: np.float64(-0.08571428571428572)}",-1.0
8,AXP,"{2023: 0.005408788163247061, 2024: 0.005535457437998518, 2025: 0.005322397696536079, 2026: 0.005738880918220947}",7.772185234595451e-05,0.9558432698249816,"[np.float32(0.99908054), np.float32(0.896955), np.float32(0.9714943)]","{2023: 0.004827678691162666, 2024: 0.0044458004620145574, 2025: 0.0047116307477532504, 2026: 0.004348995695839311}",-0.0001170218700231,2025,"{'interest_coverage': None, 'rating': 'N/A', 'debt_to_ebitda': None, 'debt_ebitda_rating': 'N/A'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(16003000000.0), 'fcf_margin': np.float64(0.22155614010798838), 'fcf_margin_rating': 'Exceptional', 'ocf_to_debt': np.float64(0.3268071220827126), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': None, 'rating': 'N/A', 'cash_and_equiv_usd': np.float64(47708000000.0)}","{'revenue_growth_yoy': np.float64(0.09524026141412303), 'ebitda_growth_yoy': None}",Challenging – improvement needed,"{2023: np.float64(0.6153137408733621), 2024: np.float64(0.6507568266858493), 2025: np.float64(0.6684572719206864)}","{2024: np.float64(-0.22264875239923224), 2025: np.float64(-0.26896912611198326)}",-1.0
9,APTV,"{2024: 0.0072217848125322405, 2025: 0.006985558225370953, 2026: 0.00681574156201858}",-0.0002030216252568,0.9921420812606812,"[np.float32(0.98907006), np.float32(0.9952141)]","{2024: 0.005104118589308501, 2025: 0.004607495850776586, 2026: 0.004621632976985202}",-0.0002412428061616,2025,"{'interest_coverage': np.float64(3.5457063711911356), 'rating': 'Strong', 'debt_to_ebitda': np.float64(3.2892998678996035), 'debt_ebitda_rating': 'High'}","{'additional_debt_capacity_usd': None, 'assumptions': 'Maintain interest coverage >= 3.0x'}","{'free_cash_flow_usd': np.float64(1529000000.0), 'fcf_margin': np.float64(0.07495832924796549), 'fcf_margin_rating': 'Moderate', 'ocf_to_debt': np.float64(0.29250334672021416), 'ocf_to_debt_rating': 'Very Strong'}","{'current_ratio': np.float64(1.7361524717093508), 'rating': 'Strong', 'cash_and_equiv_usd': np.float64(1851000000.0)}","{'revenue_growth_yoy': np.float64(0.03474864302744382), 'ebitda_growth_yoy': np.float64(-0.3421205098493627)}",Marginally feasible – monitor key risks,"{2024: np.float64(0.4614395398754053), 2025: np.float64(0.4707672970275497)}",{2025: np.float64(0.20963855421686747)},
